attribute_id,entity_type_id,attribute_code,attribute_model,backend_model,backend_type,backend_table,frontend_model,frontend_input,frontend_label,frontend_class,source_model,is_required,is_user_defined,default_value,is_unique,note,is_bfm_defined,attribute_id,frontend_input_renderer,is_global,is_visible,is_searchable,is_filterable,is_comparable,is_visible_on_front,is_html_allowed_on_front,is_used_for_price_rules,is_filterable_in_search,used_in_product_listing,used_for_sort_by,is_configurable,apply_to,is_visible_in_advanced_search,position,is_wysiwyg_enabled,is_used_for_promo_rules,search_weight,is_deleted,attribute_set_and_group_names
271,4,layer_height,NULL,NULL,text,NULL,NULL,select,Width,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\Fractional,1,1,10,0,NULL,1,271,,1,1,0,0,0,1,0,0,0,1,0,1,"simple,frame",0,0,0,1,1,0,Fabric|Fabric
270,4,layer_width,NULL,NULL,text,NULL,NULL,select,Length,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\Fractional,1,1,10,0,NULL,1,270,,1,1,0,0,0,1,0,0,0,1,0,1,"simple,frame",0,0,0,1,1,0,Fabric|Fabric
376,4,letter_board_material,NULL,NULL,int,NULL,NULL,select,Board Material,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\BoardMaterial,0,1,,0,NULL,0,376,NULL,0,1,0,1,0,1,1,0,1,1,0,0,simple,0,0,0,1,1,0,Letter Board|Letter Board
141,4,lifetime,NULL,NULL,int,NULL,NULL,text,Lifetime,NULL,NULL,0,0,NULL,0,NULL,0,141,NULL,2,0,0,0,0,0,0,0,0,0,0,0,giftcard,0,0,0,0,1,0,"Accessories|Prices,Backing Board|Prices,Chalk Boards|Prices,Cork Boards|Prices,Default|Prices,Dry Erase Board|Prices,Fabric|Prices,Glass|Prices,Laminate|Prices,Letter Board|Prices,Post Finish|Prices"
132,4,links_exist,NULL,NULL,int,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,0,132,NULL,1,0,0,0,0,0,0,0,0,1,0,0,downloadable,0,0,0,0,1,0,"Accessories|General,Backing Board|General,Chalk Boards|General,Cork Boards|General,Default|General,Dry Erase Board|General,Fabric|General,Glass|General,Laminate|General,Letter Board|General,Post Finish|General"
129,4,links_purchased_separately,NULL,NULL,int,NULL,NULL,NULL,Links can be purchased separately,NULL,NULL,1,0,NULL,0,NULL,0,129,NULL,1,0,0,0,0,0,0,0,0,1,0,0,downloadable,0,0,0,0,1,0,"Accessories|General,Backing Board|General,Chalk Boards|General,Cork Boards|General,Default|General,Dry Erase Board|General,Fabric|General,Glass|General,Laminate|General,Letter Board|General,Post Finish|General"
131,4,links_title,NULL,NULL,varchar,NULL,NULL,NULL,Links title,NULL,NULL,1,0,NULL,0,NULL,0,131,NULL,0,0,0,0,0,0,0,0,0,0,0,0,downloadable,0,0,0,0,1,0,"Accessories|General,Backing Board|General,Chalk Boards|General,Cork Boards|General,Default|General,Dry Erase Board|General,Fabric|General,Glass|General,Laminate|General,Letter Board|General,Post Finish|General"
354,4,matboard_overlap,NULL,NULL,text,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Frontend\Fractional,select,Matboard Overlap,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\MatboardOverlap,0,1,NULL,0,NULL,1,354,NULL,1,1,0,0,0,1,0,0,0,1,0,1,customframe,0,0,0,1,1,0,"Accessories|Size,Backing Board|Size,Default|Size,Fabric|Size,Glass|Size,Post Finish|Size"
407,4,material_cost,NULL,Magento\Catalog\Model\Product\Attribute\Backend\Price,decimal,NULL,NULL,price,Material Cost,NULL,NULL,1,1,NULL,0,NULL,0,407,NULL,1,1,0,0,0,0,1,0,0,0,0,0,"simple,frame",0,0,0,0,1,0,"Backing Board|Prices,Chalk Boards|Prices,Cork Boards|Prices,Dry Erase Board|Prices,Fabric|Prices,Glass|Prices,Laminate|Prices,Letter Board|Prices,Post Finish|Prices"
88,4,media_gallery,NULL,catalog/product_attribute_backend_media,varchar,NULL,NULL,gallery,Media Gallery,NULL,NULL,0,0,NULL,0,NULL,0,88,NULL,1,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,"Accessories|Images,Backing Board|Images,Chalk Boards|Images,Cork Boards|Images,Default|Images,Dry Erase Board|Images,Fabric|Images,Glass|Images,Laminate|Images,Letter Board|Images,Post Finish|Images"
